id,original_title,genres1
10398,Double Jeopardy,Drama
8374,The Boondock Saints,Action
1542,Office Space,Comedy
1443,The Virgin Suicides,Drama
2277,Bicentennial Man,Comedy
2667,The Blair Witch Project,Horror
622,The Ninth Gate,Horror
10400,The Hurricane,Drama
1090,The Thirteenth Floor,Thriller
9032,Big Daddy,Comedy
8224,8MM,Thriller
1832,Dogma,Fantasy
11618,The Haunting,Horror
1641,Forces of Nature,Comedy
11622,Blast from the Past,Comedy
10207,Message in a Bottle,Drama
2275,"The General's Daughter",Crime
10307,Stigmata,Horror
11601,Stir of Echoes,Horror
334,Magnolia,Drama
2020,The Bachelor,Comedy
9423,Virus,Horror
1213,The Talented Mr. Ripley,Thriller
9825,Lake Placid,Horror
9781,Detroit Rock City,Comedy
9824,Mystery Men,Adventure
49948,Fantasia 2000,Music
9430,Go,Crime
11355,Never Been Kissed,Romance
6415,Three Kings,Action
1850,Man on the Moon,Comedy
17707,Brokedown Palace,Drama
11377,House on Haunted Hill,Horror
913,The Thomas Crown Affair,Drama
12618,Random Hearts,Drama
1946,eXistenZ,Action
20024,The End of the Affair,Drama
11001,Blue Streak,Thriller
7341,The Rage: Carrie 2,Horror
38809,Black and White,Drama
9455,The Corruptor,Action
10366,Universal Soldier: The Return,Action
2162,Chill Factor,Action
6522,Life,Comedy
21349,Anywhere But Here,Drama
2900,"The Astronaut's Wife",Drama
9849,My Favorite Martian,Comedy
10388,The Limey,Drama
10397,"Angela's Ashes",Drama
12220,The Story of Us,Comedy
14429,Drive Me Crazy,Drama
10208,Muppets from Space,Fantasy
24137,An Ideal Husband,Drama
10402,Deuce Bigalow: Male Gigolo,Comedy
6552,Idle Hands,Thriller
9563,Any Given Sunday,Drama
30943,The Deep End of the Ocean,Drama
11129,Human Traffic,Comedy
22314,In Too Deep,Drama
10342,Teaching Mrs. Tingle,Comedy
10490,Drop Dead Gorgeous,Comedy
16162,The Best Man,Drama
16172,Simply Irresistible,Comedy
26149,Music of the Heart,Drama
15198,"Mystery, Alaska",Comedy
16379,The Mod Squad,Action
16158,The Wood,Comedy
15256,200 Cigarettes,Comedy
8970,The Out-of-Towners,Comedy
10047,Joan of Arc,Adventure
5470,Beowulf,Action
20761,Play It to the Bone,Comedy
24066,"Happy, Texas",Comedy
22267,Ride with the Devil,Drama
18892,Jawbreaker,Comedy
16406,Dick,Comedy
47288,The King and I,Animation
14578,Outside Providence,Romance
1812,Trick,Comedy
22345,Baby Geniuses,Comedy
10557,East Is East,Comedy
39964,Lost & Found,Comedy
10368,Tea with Mussolini,Comedy
120,The Lord of the Rings: The Fellowship of the Ring,Adventure
671,"Harry Potter and the Philosopher's Stone",Adventure
1018,Mulholland Drive,Thriller
141,Donnie Darko,Fantasy
585,"Monsters, Inc.",Fantasy
644,A.I. Artificial Intelligence,Drama
808,Shrek,Adventure
634,"Bridget Jones's Diary",Comedy
161,"Ocean's Eleven",Thriller
676,Pearl Harbor,History
1734,The Mummy Returns,Action
10865,Atlantis: The Lost Empire,Animation
1995,Lara Croft: Tomb Raider,Adventure
453,A Beautiful Mind,Drama
2770,American Pie 2,Comedy
9880,The Princess Diaries,Comedy
824,Moulin Rouge!,Romance
869,Planet of the Apes,Thriller
9428,The Royal Tenenbaums,Comedy
4133,Blow,Crime
853,Enemy at the Gates,War
855,Black Hawk Down,Action
8835,Legally Blonde,Comedy
9476,"A Knight's Tale",Adventure
9398,Zoolander,Comedy
11397,Not Another Teen Movie,Comedy
4248,Scary Movie 2,Comedy
5175,Rush Hour 2,Action
2034,Training Day,Action
1933,The Others,Horror
12589,Jimmy Neutron: Boy Genius,Adventure
2294,Jay and Silent Bob Strike Back,Comedy
9778,Serendipity,Comedy
10992,Cats & Dogs,Comedy
1903,Vanilla Sky,Drama
2140,Kiss of the Dragon,Action
1535,Spy Game,Action
9705,Swordfish,Action
9889,Shallow Hal,Comedy
9989,AntiTrust,Action
2114,Final Fantasy: The Spirits Within,Adventure
2057,Original Sin,Drama
10808,Dr. Dolittle 2,Comedy
8007,Behind Enemy Lines,Action
8922,Jeepers Creepers,Horror
768,From Hell,Horror
2100,The Last Castle,Action
2043,Along Came a Spider,Crime
39939,Super Troopers,Comedy
2018,The Wedding Planner,Comedy
9896,Rat Race,Adventure
5279,Gosford Park,Drama
11470,Jason X,Horror
6073,The Mexican,Action
10866,Joy Ride,Mystery
10950,I Am Sam,Drama
12508,Rock Star,Music
167,K-PAX,Drama
12103,"Don't Say a Word",Thriller
9290,Crocodile Dundee in Los Angeles,Adventure
12149,Frailty,Drama
5852,Angel Eyes,Drama
11313,Hearts in Atlantis,Drama
2176,The Glass House,Drama
2749,15 Minutes,Action
20857,Hardball,Comedy
9397,Evolution,Action
8489,Ali,Drama
10972,Session 9,Horror
11371,The Score,Action
1365,"Monster's Ball",Drama
10956,Joe Dirt,Mystery
10877,Exit Wounds,Action
2575,The Tailor of Panama,Drama
1921,Sweet November,Drama
8386,How High,Comedy
10646,Tomcats,Comedy
11086,The Majestic,Drama
12138,3000 Miles to Graceland,Action
23949,Tape,Drama
14752,Dil Chahta Hai,Drama
10016,Ghosts of Mars,Action
10878,Saving Silverman,Comedy
11091,Riding in Cars with Boys,Comedy
12610,Osmosis Jones,Adventure
